case_id,legacy_case_id,manual_id,cell_number,treatment,source_image,source_fov_encrypted,global_x,global_y,raw_sha256,manual_swc_sha256
evotest_div10cc_cell21,div10_cell21,tracings_M237_totrace_Encrypted_21_0,21,Blebbistatin,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_F3_Blebbistatin.tif,1278480,4186.000000,8843.500000,dffffbdfa4cbddb897801784c23dea68737dcb3f0a86dc9cc86b64bcba42ec81,dccde14c02d41b4b884dd166f9b8a024a2464693640cacb9f252c1db68f9616c
evotest_div10cc_cell22,div10_cell22,tracings_M237_totrace_Encrypted_22_0,22,Blebbistatin,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_F3_Blebbistatin.tif,1278480,10383.000000,9522.500000,0f74bc67e19decf64989b72d07bf2bd6df66d96e2c68e10d3d2ee7a808f70b41,71538f8b57b7349f3c83d74ba6efdecf370c9abd9185c16ec18cc89ae0818fa0
evotest_div10cc_cell23,div10_cell23,tracings_M237_totrace_Encrypted_23_0,23,Blebbistatin,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_F3_Blebbistatin.tif,1278480,10492.500000,9191.000000,101fcd211115ac0be19cca1c9f948ecf2a66aa3a914318936bb1211db418eea4,a65f9fecaf17f786c30fc444c53bf2d4b9402da464572b54c52ae58f94982512
evotest_div10cc_cell24,div10_cell24,tracings_M237_totrace_Encrypted_24_0,24,Blebbistatin,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_F3_Blebbistatin.tif,1278480,9512.000000,10750.500000,ab11113f92649b2b189792d1df3a5bd32179a2861adb16c89747bf7ee21b7014,e95012c28093dcc3d47c07d69c1af58631abcbe1a09f5f53eab1ed8304dcea40
evotest_div10cc_cell25,div10_cell25,tracings_M237_totrace_Encrypted_25_0,25,Blebbistatin,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_F3_Blebbistatin.tif,1278480,6488.000000,11559.500000,aab47c7a9a195ac7f3bf37507754a5b899751a8424a209080a6272c8e4a891f3,c2b2cd02ed54cf0395030d406c8bb1503d6afb332dff4c050a1414707407c3d5
evotest_div10cc_cell26,div10_cell26,tracings_M237_totrace_Encrypted_26_0,26,DMSO,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_E8_DMSO.tif,1665588,7263.500000,11699.500000,1ad6e95bc0a27c1c313a7f6e4fdc3a17b6de20698946ad2563152de684195a36,3c3e1c83936e833cb97f27c23698a5ae27e4b6359e123cb196287abd82615358
evotest_div10cc_cell27,div10_cell27,tracings_M237_totrace_Encrypted_27_0,27,DMSO,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_E8_DMSO.tif,1665588,9552.500000,2187.000000,afa58675c85e8c046229cee78eee1364a419b796df750e7fd97a5ac20d1077b7,ede3f0c6153cd7bc7f4189d48557029cecd992e75085686ba0bed506706380a5
evotest_div10cc_cell28,div10_cell28,tracings_M237_totrace_Encrypted_28_0,28,DMSO,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_E8_DMSO.tif,1665588,1651.500000,4616.000000,0f81b3f3b1e7b829e6c38cc397ec0233f0e2ff4b53a66860197c60d7d77c5b7e,795b3098891339e24ec3ec8fbdd1461297915a21908e23f09636038d60551491
evotest_div10cc_cell29,div10_cell29,tracings_M237_totrace_Encrypted_29_0,29,DMSO,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_E8_DMSO.tif,1665588,2857.000000,9741.500000,bf6720e97277e38a6c76cd5b93fcc52419927a723fc6f8c85e90cc6dedaaf09b,60d5bc847a17665109977a10fbccb58eb9343573fdc5fa58de08470d173ecc8e
evotest_div10cc_cell30,div10_cell30,tracings_M237_totrace_Encrypted_30_0,30,DMSO,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_E8_DMSO.tif,1665588,5898.000000,4205.500000,0ef973c826f4225b32260f211b87320450200ea52e3a02f489c61de1a15dd785,908177085bb42341307ee5ae43198086c05ca71f30f44a993abe9df27b7716f4
evotest_div10cc_cell31,div10_cell31,tracings_M237_totrace_Encrypted_31_0,31,DMSO,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_E8_DMSO.tif,1665588,10497.000000,8734.000000,983711f631964479374444964a80c2157fcc688b3cada8052f27d7dea7ef4036,3b78c601b2ee5f485be1a1edc97719a4eea0d005daaf2aee269a25a2d84bf941
evotest_div10cc_cell32,div10_cell32,tracings_M237_totrace_Encrypted_32_0,32,DMSO,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_E8_DMSO.tif,1665588,4886.000000,6901.000000,ba95ef6c61a5c462c73bb47e6edca346a3559e079bb1eedcac3cd34735507e15,a1347ce9be58f3069c6b68ee6c3bbfa655fafc89092f2eddc2765a3fa75d1c10
evotest_div10cc_cell33,div10_cell33,tracings_M237_totrace_Encrypted_33_0,33,DMSO,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_E8_DMSO.tif,1665588,7650.000000,5321.000000,c8b1a73c5b51a96a261225ba26d6889a328e5b7f39b5722dd0668d5c1d88c3ae,7812d437145a2f35008b28dc6569a6d7ccd17a9e5b73108040de4db790ef20e4
evotest_div10cc_cell34,div10_cell34,tracings_M237_totrace_Encrypted_34_0,34,DMSO,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_E8_DMSO.tif,1665588,7019.500000,8118.500000,815f50112ae706fdb393d24ee93b0e3daae3b4e7e54556f1e89d35b940908606,e1aa8febceb9149ac2dfe74ea04bf8533350ac0a32e0f2070a063411e946d955
evotest_div10cc_cell35,div10_cell35,tracings_M237_totrace_Encrypted_35_0,35,DMSO,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_E8_DMSO.tif,1665588,5686.000000,9884.000000,4845563123c0c4d36c96eb41434756cbf596a98a8ae79ee8659c194db5873ec8,bb0b8fdd2a630268ff235c5baef910545614f09b4f5b14b2300bc9ff54a27708
evotest_div10cc_cell36,div10_cell36,tracings_M237_totrace_Encrypted_36_0,36,DMSO,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_E8_DMSO.tif,1665588,5955.500000,8713.500000,7e05801a9ac79372b86a4b7e12f105cc3f4070d29efe794d4e986b626ae0d224,16a058ded494c7b2e81030fc13fc1d9e4426a502561114ff61362936926ba5fe
evotest_div10cc_cell37,div10_cell37,tracings_M237_totrace_Encrypted_37_0,37,DMSO,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_E8_DMSO.tif,1665588,2542.000000,7640.500000,2ac5266105252a891183328ddf30031d8bbbd7d7ee2f8b4d40612db2e3ed01e6,16de8f94c2019b5fe96dc136ea3b9a9247db51fd6e5f3ce79c743927396c3036
evotest_div10cc_cell38,div10_cell38,tracings_M237_totrace_Encrypted_38_0,38,DMSO,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_E8_DMSO.tif,1665588,10181.500000,2367.000000,ae1b1b371dc6a8cc3ecfa47d23d7c14454794218d40a8f48b9b291d25b984b95,8f76f71456e3b7abb9f45365e7082a5b39e092d6174b1fa857ca76abd7152dd9
evotest_div10cc_cell39,div10_cell39,tracings_M237_totrace_Encrypted_39_0,39,DMSO,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_E8_DMSO.tif,1665588,7860.500000,8669.500000,69d24be93df15a91b133ea8a9cb9c5df4676ef1b9e6a561ceb2810ea2b57f6ad,e6d62d56f3588e2ff78c8b67fe222a1eda2146dc524d2c98c6885c2d522cc774
evotest_div10cc_cell40,div10_cell40,tracings_M237_totrace_Encrypted_40_0,40,DMSO,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_E8_DMSO.tif,1665588,11241.000000,4635.000000,3157736036ed10dd01198d9f96c457a120eb4ea3b135a9d8d4aee6d504287a4c,ff87838be7766165f56cb75c09bd37e2ac6f426addf34762300281dd6f2db676
evotest_div10cc_cell41,div10_cell41,tracings_M237_totrace_Encrypted_41_0,41,DMSO,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_E8_DMSO.tif,1665588,6032.500000,6269.500000,102cd53d61e25821040ebed1d432ef07e0167022df97891db46233e0f60d9ba6,b960338fe89a50de23509d1690e5e3d1a54666b15e1f5735a62edba0f2e4dcf7
evotest_div10cc_cell42,div10_cell42,tracings_M237_totrace_Encrypted_42_0,42,DMSO,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_E8_DMSO.tif,1665588,9773.000000,8717.000000,9386e33be38aed793c3128f170104cc3e26c442c4d9eb03db242b61c013712bf,03512c8924aeb143935ac91ff59a0f2ee26ed2ca74496e2d379b68731e4f9d25
evotest_div10cc_cell43,div10_cell43,tracings_M237_totrace_Encrypted_43_0,43,DMSO,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_E8_DMSO.tif,1665588,8381.500000,9565.500000,6da378636d601dcbc18d468b7893b2e047ef17114868e7b5bd57872988b13d2c,ba5b318ef1547e7aac8b482f4bcc3f12f7f0b0ed63804f79f374caaaa2916716
evotest_div10cc_cell44,div10_cell44,tracings_M237_totrace_Encrypted_44_0,44,DMSO,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_E8_DMSO.tif,1665588,3757.500000,8997.500000,ba52b08d48fa15c33fc120d0ebfa135abc0a2d850a96b7639f3019cc9312b87e,e04cf80cdac4c75afcab3dace73a9e7cf338d6843c7aa3f8db5337dbd07d9ac5
evotest_div10cc_cell45,div10_cell45,tracings_M237_totrace_Encrypted_45_0,45,DMSO,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_E8_DMSO.tif,1665588,6571.500000,6659.500000,e27e64bff4ab1014bf377bd1df3d0ee95c7ee3026e6ccf5f180e3e4d1bddcba8,2831aa84714fb4dc7295cde146677fd7e1ad95ca141326364e23f29ad1cdd064
evotest_div10cc_cell46,div10_cell46,tracings_M237_totrace_Encrypted_46_0,46,DMSO,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_E8_DMSO.tif,1665588,10847.500000,8866.500000,94c16454fd7b2523369f817f0f8108df04dfe14036bd28a5e09a7829788ab82c,5bba14a2feec08e190559c911699fa47cdbbaa1e4629d7b8fabae07eb3a52319
evotest_div10cc_cell47,div10_cell47,tracings_M237_totrace_Encrypted_47_0,47,DMSO,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_E8_DMSO.tif,1665588,4110.500000,6544.000000,e751abbd14cfe68b3e5d509bed2c04c42950585020ce2885c9095ba85892d1be,d28a8b97c5488497d9b345125b2c281f7de2e435bca38bcab6089f4d4891d4c0
evotest_div10cc_cell48,div10_cell48,tracings_M237_totrace_Encrypted_48_0,48,DMSO,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_E8_DMSO.tif,1665588,3668.500000,7139.500000,1915f2f08dd0ca8f4bf12cf330e607caee8a0122f15367d67917d5530664b9a3,4c934bd1386c2a2662625c6b3f8e1b591ac0c43dd7a377f82ec5393190d1a9d6
evotest_div10cc_cell49,div10_cell49,tracings_M237_totrace_Encrypted_49_0,49,DMSO,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_E8_DMSO.tif,1665588,4300.500000,7221.500000,d040f5833f0abea57497b9eb131975efcfa214e1289e0defda46320dee0c72fc,ca42322383d583bf0b66f811785bcdd132f271b36340507ac065d78ca53394c7
evotest_div10cc_cell50,div10_cell50,tracings_M237_totrace_Encrypted_50_0,50,DMSO,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_E8_DMSO.tif,1665588,6252.500000,4067.500000,bdd44c9da3e7bc3a1151f1f71cc1ee985a5f14156adadea4edafa0e7e59d085e,ba9068b776a6cda88067fbb516270dc05a3d58dae8c1ded1b95b4b0050c840e6
evotest_div10cc_cell51,div10_cell51,tracings_M237_totrace_Encrypted_51_0,51,DMSO,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_ERplate_E8_DMSO.tif,1665588,10024.500000,2186.000000,b65fcb7c4152307756ae2c43cf8f6f172732182d30b67df053b02d1f62b5b7d0,bffc91be3336f009006db3b01d16abb8731cfce66caa9c2609d5f86fc2935825
evotest_div10cc_cell52,div10_cell52,tracings_M237_totrace_Encrypted_52_0,52,Y-27632,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_FKplate_F5_Y-27632.tif,1705823,4284.000000,11349.500000,61d07d2a1d15a4e03e8419752ca5d0865fe46d1bb6184664226f2017c1d6df7b,69af774cf333b5c4c9fde16a249541b6b2dfca0a60a7c66dc9d6cd59eab63add
evotest_div10cc_cell53,div10_cell53,tracings_M237_totrace_Encrypted_53_0,53,Y-27632,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_FKplate_F5_Y-27632.tif,1705823,12187.500000,4967.000000,611ba2af0f716b51a72b6f86026aa0df0a77b767624e7c79972db65615ddc6eb,00da9a68700117f96fb883d4707c228d9beb753cf75f8bc5cf1d1b4f7b233660
evotest_div10cc_cell54,div10_cell54,tracings_M237_totrace_Encrypted_54_0,54,Y-27632,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_FKplate_F5_Y-27632.tif,1705823,6275.500000,9976.000000,ba70902712b544db8535b57348b4d2fa3c983638c9c18da58531ccd21e7667c3,c0fbd74e64bdcf5d30d681df54a227b56776ff724a6bab036d8dcee59a5bfcbb
evotest_div10cc_cell55,div10_cell55,tracings_M237_totrace_Encrypted_55_0,55,Y-27632,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_FKplate_F5_Y-27632.tif,1705823,11185.500000,9098.000000,67a23c5dfd0185885bdcd7025f3ae7760be8ee9a4335ea9aadc8d8bda51c3b3d,f5e260dc596beeb26f4c9e230aef4887c9b398584178a1c413f358684ee673e0
evotest_div10cc_cell56,div10_cell56,tracings_M237_totrace_Encrypted_56_0,56,Y-27632,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_FKplate_F5_Y-27632.tif,1705823,6481.000000,10108.000000,70156e886fd3f6390b1adfbbd010976b4cccbcf2d742c42c9fcb1ae54f093a65,9c4c94c51c6dccaccf69187831b0bc1c9fc0d4b53cc78b3118aacfa9578b2003
evotest_div10cc_cell57,div10_cell57,tracings_M237_totrace_Encrypted_57_0,57,Y-27632,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_FKplate_F5_Y-27632.tif,1705823,7979.000000,8590.500000,85dde9fbd66423aa61b75200dcb45548e49b1e3ee42665865576e72a714b4ad3,df2326caf957cbc603dadb168c1456467fa0d9c938a0ddc6b814fec7eecd33b7
evotest_div10cc_cell58,div10_cell58,tracings_M237_totrace_Encrypted_58_0,58,Y-27632,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_FKplate_F5_Y-27632.tif,1705823,8346.000000,11874.500000,f822c51c3e896db409ec5d7b98af8c6504a215daa36232a06927b63f224bd0c8,771547228f482d409fe983df2d376141de9c29f8be5a2b57c23821aabcfc4aaa
evotest_div10cc_cell59,div10_cell59,tracings_M237_totrace_Encrypted_59_0,59,Y-27632,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_FKplate_F5_Y-27632.tif,1705823,10027.000000,5307.000000,16de963d5bc14e49be13fad9806dd3247c3bd3371cd1bdbd55fbbb82e9dcf722,ea45b64061c250fe99e7955b2cf18857ab06c7cf733cc7edb6ca9500f6e2fda7
evotest_div10cc_cell60,div10_cell60,tracings_M237_totrace_Encrypted_60_0,60,Y-27632,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_FKplate_F5_Y-27632.tif,1705823,8946.500000,5916.500000,8b94f255b8957efef2d6db7970e345e95099d4cd785fc61543bf7354937a0588,5169f7467392cc87259255d02281288636259b17f31f63b8caa56226bc83cdd1
evotest_div10cc_cell61,div10_cell61,tracings_M237_totrace_Encrypted_61_0,61,Y-27632,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_FKplate_F5_Y-27632.tif,1705823,5615.000000,3663.000000,91975d07b2628abe5a96b1a0e3cc9b984899f00a868aa9f834421404ce4212ec,98874a38bb6e5e2cc33b51c1545453aedafaa718448f39d7032c4e3282881040
evotest_div10cc_cell62,div10_cell62,tracings_M237_totrace_Encrypted_62_0,62,Y-27632,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_FKplate_F5_Y-27632.tif,1705823,6334.500000,10052.500000,772f4a97a3756765c294737b3c15966cbcd30dfc9a27bc790703decd74a1c1b2,ddb5d94da7c6f58578c0e7c50d9a53117da2e8e772e7509f187b56c6d6404800
evotest_div10cc_cell63,div10_cell63,tracings_M237_totrace_Encrypted_63_0,63,Y-27632,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_FKplate_F5_Y-27632.tif,1705823,6151.000000,5933.500000,0b5aa47cf6177adaced7c2efcddb49eeb983e7d539e2955e815b8330f933892e,36d418b1970356e7c1586dbfb7de01845d500f9c7f75c4a2f3973972eaea7126
evotest_div10cc_cell64,div10_cell64,tracings_M237_totrace_Encrypted_64_0,64,Y-27632,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_FKplate_F5_Y-27632.tif,1705823,5373.500000,4081.000000,886c03aba22a0d50a3a0e3581f8444f010b7e9d0e4c9c07b2f5cc9048003de92,bd532c5c86c9e885e52552a68728b5d81916659675a224aa3e6c55ee8411aa40
evotest_div10cc_cell65,div10_cell65,tracings_M237_totrace_Encrypted_65_0,65,Y-27632,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_FKplate_F5_Y-27632.tif,1705823,5730.500000,10002.500000,59b9b7bd9b14b875ccbc77f93ccfc9bc202d7162a5ea03545d9183988a0f43c2,c131ea11b737429225499f8294ee34e516cf57f1540073acb04e6004d13aed15
evotest_div10cc_cell66,div10_cell66,tracings_M237_totrace_Encrypted_66_0,66,Y-27632,260723_cc_M237_S24tdTomMFL26#02_div10_postROCKi_10x_zoom1.6_FKplate_F5_Y-27632.tif,1705823,7389.500000,1749.000000,1ab14195bba6db28b2db87a0a66362b20631fb2291beaa89b3a67f1dfd2cad87,d1236b204a01d26ca07b524ecab8b16ab31459d3aef2fd7c70398b8e506f5491
